frame,landmark,x,y,z
0,LEFT_ANKLE,0.355155825614929,0.629950940608978,0.287951797246933
0,LEFT_ELBOW,0.441092133522034,0.281328290700912,-0.0904125496745109
0,LEFT_HEEL,0.351358026266098,0.638857662677765,0.306850850582123
0,LEFT_HIP,0.378652930259705,0.36180368065834,0.0028325458988547
0,LEFT_KNEE,0.367002665996552,0.509315252304077,-0.0293763615190982
0,LEFT_SHOULDER,0.410898745059967,0.17639397084713,-0.233548924326897
0,LEFT_WRIST,0.456399470567703,0.374903529882431,-0.250383794307709
0,RIGHT_ANKLE,0.294993668794632,0.624147891998291,0.279378741979599
0,RIGHT_ELBOW,0.224014461040497,0.277841985225677,-0.160175383090973
0,RIGHT_HEEL,0.296217918395996,0.632232308387756,0.298532009124756
0,RIGHT_HIP,0.281189739704132,0.361814975738525,-0.0029767083469778
0,RIGHT_KNEE,0.29775807261467,0.500678896903992,-0.0345706492662429
0,RIGHT_SHOULDER,0.246598422527313,0.176639959216118,-0.258230239152908
0,RIGHT_WRIST,0.214436918497085,0.370280146598816,-0.328719288110733
1,LEFT_ANKLE,0.355564564466476,0.636268556118011,0.24709489941597
1,LEFT_ELBOW,0.441716641187668,0.281583935022354,-0.0440876558423042
1,LEFT_HEEL,0.352154731750488,0.64399391412735,0.259112864732742
1,LEFT_HIP,0.379367649555206,0.36202147603035,0.0050776503048837
1,LEFT_KNEE,0.367432564496994,0.512809097766876,-0.0217192508280277
1,LEFT_SHOULDER,0.410952895879745,0.176391527056694,-0.172989279031754
1,LEFT_WRIST,0.456383585929871,0.37481689453125,-0.208765879273415
1,RIGHT_ANKLE,0.298521190881729,0.634455502033234,0.226846396923065
1,RIGHT_ELBOW,0.225848078727722,0.280704498291016,-0.124726347625256
1,RIGHT_HEEL,0.29968449473381,0.644259095191956,0.239836379885673
1,RIGHT_HIP,0.283914893865585,0.362665504217148,-0.0051683131605386
1,RIGHT_KNEE,0.298340052366257,0.501136600971222,-0.0358522497117519
1,RIGHT_SHOULDER,0.247372299432754,0.176877543330193,-0.210333541035652
1,RIGHT_WRIST,0.214719340205193,0.372361361980438,-0.288153737783432
2,LEFT_ANKLE,0.35590848326683,0.641008973121643,0.190990656614304
2,LEFT_ELBOW,0.442582905292511,0.281651616096497,-0.0537082254886627
2,LEFT_HEEL,0.353767544031143,0.651961624622345,0.19913138449192
2,LEFT_HIP,0.379840493202209,0.361501306295395,0.0035374995786696
2,LEFT_KNEE,0.368305861949921,0.512952566146851,-0.0335011407732963
2,LEFT_SHOULDER,0.411198407411575,0.176311552524567,-0.191281005740166
2,LEFT_WRIST,0.456481069326401,0.374816298484802,-0.220131605863571
2,RIGHT_ANKLE,0.307047724723816,0.643955290317535,0.178155213594437
2,RIGHT_ELBOW,0.228590130805969,0.284512251615524,-0.133598178625107
2,RIGHT_HEEL,0.306393682956696,0.658146142959595,0.186912670731544
2,RIGHT_HIP,0.286198765039444,0.362660676240921,-0.0036313815508037
2,RIGHT_KNEE,0.301697969436646,0.50115031003952,-0.0394279994070529
2,RIGHT_SHOULDER,0.249608665704727,0.177643239498138,-0.224196553230286
2,RIGHT_WRIST,0.215353831648827,0.374983012676239,-0.298129081726074
3,LEFT_ANKLE,0.356299340724945,0.643032908439636,0.184310644865036
3,LEFT_ELBOW,0.443141669034958,0.281709104776382,-0.0581257343292236
3,LEFT_HEEL,0.35495862364769,0.655142366886139,0.191883891820908
3,LEFT_HIP,0.380261570215225,0.36136656999588,0.0008502919808961
3,LEFT_KNEE,0.369243144989014,0.513093173503876,-0.0346889682114124
3,LEFT_SHOULDER,0.411366522312164,0.176233261823654,-0.200071573257446
3,LEFT_WRIST,0.456476837396622,0.37480354309082,-0.225300088524818
3,RIGHT_ANKLE,0.30981907248497,0.646790385246277,0.178440779447555
3,RIGHT_ELBOW,0.229790866374969,0.285676151514053,-0.136510372161865
3,RIGHT_HEEL,0.309202760457992,0.661761283874512,0.186916753649712
3,RIGHT_HIP,0.28721359372139,0.362805008888245,-0.0009365995647385
3,RIGHT_KNEE,0.302623271942139,0.501175761222839,-0.0389677286148071
3,RIGHT_SHOULDER,0.250991106033325,0.177982822060585,-0.229826182126999
3,RIGHT_WRIST,0.215605571866035,0.376206815242767,-0.299077570438385
4,LEFT_ANKLE,0.357500851154327,0.643962383270264,0.173307031393051
4,LEFT_ELBOW,0.444323718547821,0.281736582517624,-0.0734292641282081
4,LEFT_HEEL,0.356925517320633,0.657169222831726,0.1800866574049
4,LEFT_HIP,0.381528049707413,0.361121624708176,0.0016616421053186
4,LEFT_KNEE,0.370265156030655,0.513021767139435,-0.0369915030896663
4,LEFT_SHOULDER,0.41194748878479,0.176229104399681,-0.210867434740067
4,LEFT_WRIST,0.456752687692642,0.374871432781219,-0.236436933279037
4,RIGHT_ANKLE,0.31252321600914,0.64865654706955,0.158686965703964
4,RIGHT_ELBOW,0.230863943696022,0.286759197711945,-0.163192838430405
4,RIGHT_HEEL,0.314027696847916,0.666094362735748,0.166028335690498
4,RIGHT_HIP,0.288770705461502,0.362807214260101,-0.0017574551748111
4,RIGHT_KNEE,0.30303168296814,0.50230073928833,-0.0442783758044242
4,RIGHT_SHOULDER,0.252473533153534,0.178387343883514,-0.253298401832581
4,RIGHT_WRIST,0.216343730688095,0.37741157412529,-0.322646468877792
5,LEFT_ANKLE,0.359034150838852,0.643936038017273,0.199220970273018
5,LEFT_ELBOW,0.446260124444961,0.281777858734131,-0.0974996238946914
5,LEFT_HEEL,0.357466816902161,0.656770884990692,0.20953693985939
5,LEFT_HIP,0.382317125797272,0.361202210187912,0.0017950048204511
5,LEFT_KNEE,0.370437443256378,0.513604521751404,-0.0366124249994754
5,LEFT_SHOULDER,0.413693964481354,0.176228597760201,-0.235121637582779
5,LEFT_WRIST,0.457533776760101,0.375070363283157,-0.258116662502289
5,RIGHT_ANKLE,0.316109120845795,0.649969637393951,0.178637519478798
5,RIGHT_ELBOW,0.23137304186821,0.288593143224716,-0.178985968232155
5,RIGHT_HEEL,0.31798979640007,0.665743589401245,0.188259407877922
5,RIGHT_HIP,0.289282917976379,0.363329827785492,-0.0018915920518338
5,RIGHT_KNEE,0.303851336240768,0.505490243434906,-0.0437391139566898
5,RIGHT_SHOULDER,0.253404021263123,0.179641827940941,-0.273019731044769
5,RIGHT_WRIST,0.216996878385544,0.379253804683685,-0.341456025838852
6,LEFT_ANKLE,0.359167248010635,0.645586848258972,0.202381312847137
6,LEFT_ELBOW,0.448205828666687,0.282125234603882,-0.108220145106316
6,LEFT_HEEL,0.357517689466476,0.6600341796875,0.211659535765648
6,LEFT_HIP,0.383048683404922,0.361739814281464,0.0019715132657438
6,LEFT_KNEE,0.370039135217667,0.51400089263916,-0.0309567879885435
6,LEFT_SHOULDER,0.415822863578796,0.176529422402382,-0.246356263756752
6,LEFT_WRIST,0.458537340164185,0.375615656375885,-0.265168070793152
6,RIGHT_ANKLE,0.319714188575745,0.651385188102722,0.17936472594738
6,RIGHT_ELBOW,0.232287779450417,0.289612948894501,-0.186587527394295
6,RIGHT_HEEL,0.324310034513474,0.667995274066925,0.188146457076073
6,RIGHT_HIP,0.28978419303894,0.364014089107513,-0.0020741659682244
6,RIGHT_KNEE,0.304305225610733,0.506761789321899,-0.0413028858602047
6,RIGHT_SHOULDER,0.254100888967514,0.180583149194717,-0.281859457492828
6,RIGHT_WRIST,0.217629700899124,0.380812168121338,-0.347825288772583
7,LEFT_ANKLE,0.360284894704819,0.647799253463745,0.209504798054695
7,LEFT_ELBOW,0.44898334145546,0.282664358615875,-0.11766617745161
7,LEFT_HEEL,0.357972323894501,0.662643074989319,0.220131859183311
7,LEFT_HIP,0.383894711732864,0.362678796052933,0.001971933292225
7,LEFT_KNEE,0.370178699493408,0.515879034996033,-0.0270518008619546
7,LEFT_SHOULDER,0.416973084211349,0.176865249872208,-0.254488408565521
7,LEFT_WRIST,0.460143208503723,0.376237362623215,-0.278427809476852
7,RIGHT_ANKLE,0.324811309576034,0.653790533542633,0.18831992149353
7,RIGHT_ELBOW,0.232680097222328,0.291015207767487,-0.191301435232162
7,RIGHT_HEEL,0.330590933561325,0.66994720697403,0.198088973760605
7,RIGHT_HIP,0.290154546499252,0.365161627531052,-0.0020787827670574
7,RIGHT_KNEE,0.305369257926941,0.509716987609863,-0.0348627530038356
7,RIGHT_SHOULDER,0.254358828067779,0.182143777608871,-0.28793203830719
7,RIGHT_WRIST,0.217696949839592,0.383657544851303,-0.352958559989929
8,LEFT_ANKLE,0.360672265291214,0.648303925991058,0.212866857647896
8,LEFT_ELBOW,0.449533015489578,0.283031314611435,-0.130782008171081
8,LEFT_HEEL,0.358320623636246,0.662930130958557,0.223207890987396
8,LEFT_HIP,0.384366422891617,0.363432437181473,0.000389477238059
8,LEFT_KNEE,0.370236247777939,0.516783893108368,-0.0200079064816236
