frame,landmark,x,y,z
0,LEFT_ANKLE,0.924208045005798,0.787267625331879,-0.0110120894387364
0,LEFT_ELBOW,0.976047813892364,0.363823562860489,-0.250308096408844
0,LEFT_HEEL,0.933298289775848,0.812686502933502,-0.008990759961307
0,LEFT_HIP,0.952613532543182,0.471520900726318,-0.0914973765611648
0,LEFT_KNEE,0.91821300983429,0.627641439437866,-0.0719179660081863
0,LEFT_SHOULDER,0.973702609539032,0.229864731431007,-0.211399674415588
0,LEFT_WRIST,0.963926196098328,0.476146817207336,-0.256311058998108
0,RIGHT_ANKLE,0.967995941638946,0.722293853759766,0.252493321895599
0,RIGHT_ELBOW,0.926449775695801,0.364519089460373,0.120697796344757
0,RIGHT_HEEL,0.983413100242615,0.748865783214569,0.260995119810104
0,RIGHT_HIP,0.936210930347443,0.468777179718018,0.0914276465773582
0,RIGHT_KNEE,0.930343985557556,0.627185165882111,0.150833249092102
0,RIGHT_SHOULDER,0.932856738567352,0.245377942919731,0.0782001838088035
0,RIGHT_WRIST,0.904557526111603,0.447015434503555,0.0589867308735847
1,LEFT_ANKLE,0.924210548400879,0.787133276462555,-0.0098149394616484
1,LEFT_ELBOW,0.966288566589356,0.361604273319244,-0.262587010860443
1,LEFT_HEEL,0.932848572731018,0.812050402164459,-0.0062933699227869
1,LEFT_HIP,0.944153666496277,0.4670230448246,-0.0912716165184974
1,LEFT_KNEE,0.915032207965851,0.627504885196686,-0.0934501364827156
1,LEFT_SHOULDER,0.964486420154572,0.229418620467186,-0.223394796252251
1,LEFT_WRIST,0.949072062969208,0.472466439008713,-0.261860847473144
1,RIGHT_ANKLE,0.968785643577576,0.710592806339264,0.197257548570633
1,RIGHT_ELBOW,0.926204979419708,0.362376064062118,0.0858239755034446
1,RIGHT_HEEL,0.984802424907684,0.713422656059265,0.206437021493912
1,RIGHT_HIP,0.924837291240692,0.466055184602737,0.0911990776658058
1,RIGHT_KNEE,0.915572166442871,0.619854629039764,0.0894668251276016
1,RIGHT_SHOULDER,0.929437756538391,0.243752881884575,0.0553139150142669
1,RIGHT_WRIST,0.907611668109894,0.447006106376648,0.028440948575735
2,LEFT_ANKLE,0.92455780506134,0.773410022258759,-0.0106156207621097
2,LEFT_ELBOW,0.951162993907928,0.36122128367424,-0.26033952832222
2,LEFT_HEEL,0.93285208940506,0.801780521869659,-0.0069393226876854
2,LEFT_HIP,0.932990193367004,0.462485492229462,-0.0922977924346923
2,LEFT_KNEE,0.897528350353241,0.61968332529068,-0.0878988653421402
2,LEFT_SHOULDER,0.952228546142578,0.22814579308033,-0.221001267433167
2,LEFT_WRIST,0.9274822473526,0.471306979656219,-0.24270062148571
2,RIGHT_ANKLE,0.960037052631378,0.717492699623108,0.174354821443558
2,RIGHT_ELBOW,0.917682945728302,0.34414604306221,0.115277506411075
2,RIGHT_HEEL,0.984659671783447,0.71776956319809,0.1806660592556
2,RIGHT_HIP,0.921199977397919,0.46116515994072,0.0922295004129409
2,RIGHT_KNEE,0.903574466705322,0.618623375892639,0.0899461209774017
2,RIGHT_SHOULDER,0.923695206642151,0.237510338425636,0.064957283437252
2,RIGHT_WRIST,0.907421410083771,0.393640220165253,0.0674146115779876
3,LEFT_ANKLE,0.924513518810272,0.772832989692688,-0.0380652882158756
3,LEFT_ELBOW,0.93473356962204,0.35896572470665,-0.272852927446365
3,LEFT_HEEL,0.932717144489288,0.80290025472641,-0.0372542962431907
3,LEFT_HIP,0.926151871681213,0.456210672855377,-0.0909867659211158
3,LEFT_KNEE,0.901767432689667,0.618791937828064,-0.0986456498503685
3,LEFT_SHOULDER,0.939991295337677,0.227496206760406,-0.232348769903183
3,LEFT_WRIST,0.908288955688477,0.466280162334442,-0.261280655860901
3,RIGHT_ANKLE,0.942841231822968,0.72639387845993,0.139484226703644
3,RIGHT_ELBOW,0.905026137828827,0.344549506902695,0.0881286859512329
3,RIGHT_HEEL,0.958572268486023,0.723164021968842,0.145898312330246
3,RIGHT_HIP,0.906239688396454,0.454590320587158,0.0908666104078292
3,RIGHT_KNEE,0.869746327400208,0.606143116950989,0.0524012558162212
3,RIGHT_SHOULDER,0.912589430809021,0.233373731374741,0.0506689138710498
3,RIGHT_WRIST,0.898468196392059,0.432288289070129,0.0367791838943958
4,LEFT_ANKLE,0.922060668468475,0.773419439792633,-0.0844785720109939
4,LEFT_ELBOW,0.922301292419434,0.351991802453995,-0.190186262130737
4,LEFT_HEEL,0.932075023651123,0.803599536418915,-0.0819645673036575
4,LEFT_HIP,0.919435799121857,0.455622225999832,-0.0850745290517807
4,LEFT_KNEE,0.904286861419678,0.615618050098419,-0.145290374755859
4,LEFT_SHOULDER,0.930272281169891,0.225255072116852,-0.15011391043663
4,LEFT_WRIST,0.893666744232178,0.456661254167557,-0.172900691628456
4,RIGHT_ANKLE,0.914699256420136,0.740464866161346,0.0706878900527954
4,RIGHT_ELBOW,0.896688759326935,0.342668205499649,0.151243835687637
4,RIGHT_HEEL,0.92775022983551,0.766014456748962,0.0734365507960319
4,RIGHT_HIP,0.895448684692383,0.455228626728058,0.0849780365824699
4,RIGHT_KNEE,0.855685830116272,0.601434290409088,0.0116531224921345
4,RIGHT_SHOULDER,0.900164008140564,0.231604680418968,0.120766423642635
4,RIGHT_WRIST,0.889143824577332,0.429339051246643,0.101335152983665
5,LEFT_ANKLE,0.921223938465118,0.775656402111053,-0.0818219929933548
